file,line,column,type,code,message,docs,severity,link
plugin-update-checker/Puc/v5p5/Plugin/Package.php,0,0,ERROR,missing_direct_file_access_protection,PHP file should prevent direct access. Add a check like: if ( ! defined( 'ABSPATH' ) ) exit;,https://developer.wordpress.org/plugins/wordpress-org/common-issues/#direct-file-access,6,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fplugin-update-checker%2FPuc%2Fv5p5%2FPlugin%2FPackage.php
plugin-update-checker/Puc/v5p5/Plugin/Package.php,0,0,WARNING,update_modification_detected,Plugin Updater detected. Detected code which may be altering WordPress update routines. Detected: _site_transient_update_plugins,https://developer.wordpress.org/plugins/wordpress-org/common-issues/#update-checker,9,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fplugin-update-checker%2FPuc%2Fv5p5%2FPlugin%2FPackage.php
plugin-update-checker/Puc/v5p5/Plugin/Package.php,124,26,WARNING,WordPress.WP.I18n.LowLevelTranslationFunction,Use of the &quot;translate()&quot; function is reserved for low-level API usage.,https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/,5,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fplugin-update-checker%2FPuc%2Fv5p5%2FPlugin%2FPackage.php&line=124
plugin-update-checker/Puc/v5p5/Plugin/Package.php,124,36,ERROR,WordPress.WP.I18n.NonSingularStringLiteralText,The $text parameter must be a single text string literal. Found: $header['Name'],https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/#basic-strings,7,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fplugin-update-checker%2FPuc%2Fv5p5%2FPlugin%2FPackage.php&line=124
plugin-update-checker/Puc/v5p5/Plugin/Package.php,124,53,ERROR,WordPress.WP.I18n.NonSingularStringLiteralDomain,The $domain parameter must be a single text string literal. Found: $header['TextDomain'],https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/#basic-strings,7,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fplugin-update-checker%2FPuc%2Fv5p5%2FPlugin%2FPackage.php&line=124
admin/wbcom/templates/wbcom-license-page.php,0,0,ERROR,missing_direct_file_access_protection,PHP file should prevent direct access. Add a check like: if ( ! defined( 'ABSPATH' ) ) exit;,https://developer.wordpress.org/plugins/wordpress-org/common-issues/#direct-file-access,6,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fadmin%2Fwbcom%2Ftemplates%2Fwbcom-license-page.php
admin/wbcom/templates/wbcom-license-page.php,11,37,ERROR,WordPress.WP.I18n.MissingTranslatorsComment,"A function call to esc_html__() with texts containing placeholders was found, but was not accompanied by a ""translators:"" comment on the line above to clarify the meaning of the placeholders.",https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/#descriptions,5,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fadmin%2Fwbcom%2Ftemplates%2Fwbcom-license-page.php&line=11
admin/class-bp-redirect-admin.php,0,0,ERROR,missing_direct_file_access_protection,PHP file should prevent direct access. Add a check like: if ( ! defined( 'ABSPATH' ) ) exit;,https://developer.wordpress.org/plugins/wordpress-org/common-issues/#direct-file-access,6,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fadmin%2Fclass-bp-redirect-admin.php
admin/class-bp-redirect-admin.php,155,49,ERROR,WordPress.WP.I18n.MissingTranslatorsComment,"A function call to esc_html__() with texts containing placeholders was found, but was not accompanied by a ""translators:"" comment on the line above to clarify the meaning of the placeholders.",https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/#descriptions,5,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fadmin%2Fclass-bp-redirect-admin.php&line=155
admin/class-bp-redirect-admin.php,185,208,ERROR,WordPress.WP.I18n.NonSingularStringLiteralText,The $text parameter must be a single text string literal. Found: $tab_caption,https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/#basic-strings,7,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fadmin%2Fclass-bp-redirect-admin.php&line=185
admin/class-bp-redirect-admin.php,206,3,ERROR,PluginCheck.CodeAnalysis.SettingSanitization.register_settingMissing,Sanitization missing for register_setting().,https://developer.wordpress.org/reference/functions/register_setting/,7,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fadmin%2Fclass-bp-redirect-admin.php&line=206
admin/class-bp-redirect-admin.php,211,4,ERROR,PluginCheck.CodeAnalysis.SettingSanitization.register_settingMissing,Sanitization missing for register_setting().,https://developer.wordpress.org/reference/functions/register_setting/,7,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fadmin%2Fclass-bp-redirect-admin.php&line=211
admin/class-bp-redirect-admin.php,216,3,ERROR,PluginCheck.CodeAnalysis.SettingSanitization.register_settingMissing,Sanitization missing for register_setting().,https://developer.wordpress.org/reference/functions/register_setting/,7,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fadmin%2Fclass-bp-redirect-admin.php&line=216
admin/class-bp-redirect-admin.php,318,42,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedHooknameFound,Hook names invoked by a theme/plugin should start with the theme/plugin prefix. Found: &quot;editable_roles&quot;.,,6,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fadmin%2Fclass-bp-redirect-admin.php&line=318
admin/class-bp-redirect-admin.php,334,25,WARNING,WordPress.DB.DirectDatabaseQuery.DirectQuery,Use of a direct database call is discouraged.,,5,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fadmin%2Fclass-bp-redirect-admin.php&line=334
admin/class-bp-redirect-admin.php,358,51,ERROR,WordPress.WP.I18n.NonSingularStringLiteralText,The $text parameter must be a single text string literal. Found: $roles[ $key ]['name'],https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/#basic-strings,7,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fadmin%2Fclass-bp-redirect-admin.php&line=358
admin/class-bp-redirect-admin.php,386,51,ERROR,WordPress.WP.I18n.NonSingularStringLiteralText,The $text parameter must be a single text string literal. Found: $roles[ $key ]['name'],https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/#basic-strings,7,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fadmin%2Fclass-bp-redirect-admin.php&line=386
admin/class-bp-redirect-admin.php,703,75,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedHooknameFound,Hook names invoked by a theme/plugin should start with the theme/plugin prefix. Found: &quot;active_plugins&quot;.,,6,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fadmin%2Fclass-bp-redirect-admin.php&line=703
admin/class-bp-redirect-admin.php,844,72,ERROR,WordPress.WP.I18n.NonSingularStringLiteralText,The $text parameter must be a single text string literal. Found: get_the_title( $wp_page_id ),https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/#basic-strings,7,http://localhost:10003/wp-admin/plugin-editor.php?plugin=bp-redirect%2Fbp-redirect.php&file=bp-redirect%2Fadmin%2Fclass-bp-redirect-admin.php&line=844
